"kdakun","nmakun"
"111111","Kas di Rekening BUN (502.000.000)"
"111112","Kas di Rekening Ditjen PBN Pusat (500.000.000)"
"111113","Kas di Rekening SAL"
"111114","Kas di Rekening Talangan Reksus Kosong"
"111115","Kas di Rekening Penempatan dalam Rupiah ( 519.000.122)"
"111116","Kas di Rekening Antara Reksus"
"111117","Kas di Rekening Khusus dalam Rupiah"
"111118","Kas di Rekening Sub BUN Talangan"
"111123","Kas di Rekening Penerimaan Penyetoran Retur SP2D dalam Rupiah"
"111151","Kas di Rekening Pengeluaran Kuasa BUN Pusat SPAN - Non Gaji"
"111152","Kas di Rekening Pengeluaran Kuasa BUN Pusat SPAN - Gaji "
"111211","Kas di Rekening KUN dalam Valuta USD ( 600.502.411)"
"111212","Kas di Rekening Penerimaan PPH dalam valuta USD"
"111213","Kas di Rekening Penerimaan Migas (600.000.411)"
"111214","Kas di Rekening Khusus dalam Valuta Asing"
"111215","Kas di Rekening Penempatan dalam Valuta USD (608.001411)"
"111216","Kas di Rekening Kas Umum Negara Dalam Valuta Yen (600.502111)"
"111217","Kas di rekening Penempatan Dalam Valuta Yen (608.000111)"
"111221","Kas di Rekening Penerimaan Penyetoran Retur SP2D dalam Valuta Asing JPY"
"111222","Kas di Rekening Penerimaan Penyetoran Retur SP2D dalam Valuta Asing USD"
"111223","Kas di Rekening Penerimaan Penyetoran Retur SP2D dalam Valuta Asing Euro "
"111311","Kas Pemerintah Lainnya dalam rupiah"
"111312","Kas di Rekening Pemerintah Lainnya dalam Valuta Asing"
"111313","Kas di Rekening Penerimaan - Dana Investasi"
"111314","Kas di Rekening Penerimaan - Dana Pembangunan Daerah"
"111315","Kas di Rekening Penerimaan Migas (baru)"
"111316","Kas di Rekening Penerimaan Panas Bumi pada Kuasa BUN Pusat"
"111317","Kas di Rekening Pertambangan dan Perikanan pada Kuasa BUN Pusat"
"111321","Kas di Rekening Pengeluaran Kuasa BUN Pusat"
"111322","Kas Pemerintah yang ada di K/L"
"111323","Kas Pemerintah yang ada di BLU"
"111324","Kas di Rekening PFK"
"111325","Kas di Rekening Pemerintah di Bank Umum Dalam Rangka Penempatan"
"111329","Kas lainnya"
"111331","Kas di Rekening Pengeluaran Kuasa BUN Pusat SPAN-Non Gaji"
"111332","Kas di Rekening Pengeluaran Kuasa BUN Pusat SPAN-Gaji"
"111343","Kas di Rekening Retur Surat Berharga Syariah Negara"
"111411","Kas di Rekening Pengeluaran di Bank Tunggal"
"111412","Kas di Rekening Pengeluaran BI  dalam rupiah"
"111413","Kas di Rekening Pengeluaran BI  dalam valuta USD"
"111414","Kas di Rekening Pengeluaran BI  dalam valuta Yen"
"111421","Kas di Rekening Pengeluaran di Bank Operasional"
"111422","Kas di Rekening Penerimaan (Persepsi/Devisa Persepsi)"
"111441","Kas di Rekening Penerimaan (Persepsi/Devisa Persepsi) dalam Valuta USD"
"111511","Kas dalam Transito"
"111512","Kas dalam Transito Rekening Pinjaman/Hibah"
"111519","Kas dalam Transito Lainnya"
"111611","Kas di Bendahara Pengeluaran"
"111711","Kas di Bendahara Penerimaan"
"111811","Surat Berharga"
"111819","Setara Kas lainnya"
"111821","Kas Lainnya di Bendahara Pengeluaran"
"111822","Kas Lainnya di Kementerian Negara/Lembaga dari Hibah"
"111824","Kas Lainnya dari Reklasifikasi Kas Besi"
"111825","Kas Lainnya di Bendahara Penerimaan"
"111826","Kas Lainnya di BLU"
"111827","Kas Lainnya di K/L dari Hibah yang Belum Disahkan"
"111911","Kas dan Bank - BLU"
"111912","Dana yang akan Dijaminkan - BLU"
"111913","Dana yang akan dipadankan - BLU"
"111914","Kas dan Bank BLU Belum Disahkan"
"111921","Surat Berharga - BLU"
"111929","Setara kas Lainnya - BLU"
"112111","Uang Muka KUN UP – PP"
"112121","Uang Muka KUN Pengeluaran Ineligible"
"112211","Uang Muka Reksus UP - PP Reksus"
"112221","Uang Muka Reksus Kosong"
"112311","Talangan Dana Cadangan Subsidi kepada RKUN"
"112312","Talangan Dana Cadangan DBH kepada RKUN"
"112313","Talangan Dana Cadangan PMN kepada RKUN"
"113111","Piutang PPh Minyak Bumi"
"113112","Piutang PPh Gas Bumi"
"113119","Piutang PPh Migas Lainnya"
"113121","Piutang PPh Pasal 21"
"113122","Piutang PPh Pasal 22"
"113123","Piutang PPh Pasal 22 Impor"
"113124","Piutang PPh Pasal 23"
"113125","Piutang PPh Pasal 25/29 Orang Pribadi"
"113126","Piutang PPh Pasal 25/29 Badan"
"113127","Piutang PPh Pasal 26"
"113128","Piutang PPh Final"
"113129","Piutang PPh Piutang PPh Fiskal Luar Negeri"
"113131","Piutang PPN Dalam Negeri"
"113132","Piutang PPN Impor"
"113139","Piutang PPN Lainnya"
"113141","Piutang PPnBM dalam Negeri"
"113142","Piutang PPnBM Impor"
"113149","Piutang PPnBM Lainnya"
"113151","Piutang PBB Pedesaan"
"113152","Piutang PBB Perkotaan"
"113153","Piutang PBB Perkebunan"
"113154","Piutang PBB Kehutanan"
"113155","Piutang PBB Pertambangan"
"113156","Piutang BPHTB"
"113159","Piutang PBB Lainnya"
"113161","Piutang Cukai Hasil Tembakau"
"113162","Piutang Cukai Ethyl Alkohol"
"113163","Piutang Cukai Minuman mengandung Ethyl Alkohol"
"113164","Piutang Pendapatan Denda Administrasi Cukai"
"113166","Piutang Bea Meterai"
"113169","Piutang Pendapatan Cukai Lainnya"
"113171","Piutang Pendapatan dari Penjualan Benda Materai"
"113172","Piutang Pajak Tidak Langsung Lainnya"
"113173","Piutang Bunga Penagihan PPh"
"113174","Piutang Bunga Penagihan PPN"
"113175","Piutang Bunga Penagihan PPnBM"
"113176","Piutang Bunga Penagihan PTLL"
"113181","Piutang Bea masuk"
"113182","Piutang Bea Masuk ditanggung Pemerintah atas Hibah (SPM Nihil)"
"113183","Piutang Pendapatan Denda Administrasi Pabean"
"113184","Piutang Pendapatan Pabean Lainnya"
"113185","Piutang Pajak/pungutan ekspor"
"113186","Piutang Pendapatan Denda Administrasi Bea Keluar"
"113187","Piutang Pendapatan Bunga Bea Keluar"
"113211","Piutang Penerimaan Negara Bukan Pajak"
"113212","Piutang Lainnya"
"113221","Piutang PT. PPA"
"113231","Bagian Lancar Piutang Penerusan Pinjaman"
"113232","Bagian Lancar RDI"
"113233","Potensi Tunggakan Yang Dapat Ditagih"
"113241","Bagian Lancar Piutang Kredit Investasi Pemerintah"
